Neighborhood Group,NORTH,SOUTH,EAST,WEST
Progressive Homeowners of Western Highland,Quindaro,Darby,9th,11th
Quail Creek Homes          Association,Clubhouse Drive,Donahoo,125th,126th
Quindaro Homes,Rail Road Tracks,Manorcrest Drive,7th,10th
Quindaro Urban                Improvement,Missouri River,Brown/Quindaro,22nd,34th
Riverview Acres Crime Eliminators (RACE),I-70,Hundred Block S 80th Place,Riverview Ave to 78th,Riverview Ave to 86th
Riverview Neighborhood Group,Armstrong,Central,6th,10th
Rolling Meadows Home Owners Assoc-Genesis,Pinehurst Dr,Pine Valley Dr,121st Terr,122ndTerr
Ridge,,,,
Rose Alert,Douglass Aveon South side,I-35,I-35,12th
Rosedale Development Assoc,Ks River,47th Ave/County Line Rd,State Line,18th
Royal Gardens Apts,3100 N 61st,,,
SAFE,Custer Ave,Metropolitan,51st,55th
Saint NHW,Leavenworth Rd,Parallel,59th,63rd
Shawnee Road,South side of Ruby,2000 block including all of 10th Terr,Cambridge Circle(state line),East side of Valley
Silver City Apartment,Whole Complex,,,
South Argentine Neighbor-hood Association (SANA),Lawrence Ave,Steele Rd & 29th St Cul de sac,18th,34th
South Turner,Oakgrove/53rdLane/Gibbs,County Line Rd,Shawnee Dr/47th 59th,
Southwest Argentine,Railroad,Silver,32nd,I-635
Spring Valley,Rainbow Blvd,Stateline,43rd,46th
St Joseph Watchdogs,Central,South to I-70,I-70 including Pala Vista,West to 10th
Step Up Neighborhood Assoc,Elmwood,Gibbs Road,"South Valley  Ball, 13th Terr to",18th St               Expressway
,,,Lawton Lane,
Stony Point/Hunters Glen,State,I-70,78th,86th
Strawberry Hill,Minnesota Ave,Central Ave,River,7th
Strugglers Hill-Roots,Wood Ave/ Walker Ave,State,10th,13th
Sun Haven Watch,2300 block of 74th,,,
Turner Community          Connection,,,,
Turtle Hill,Freeman,Washington,5th St,7th St
Villa Argentina NHG,Santa Fee Railroad tracks/yard,Metropolitan St,South 24th,South 32nd
Village Woods,N 75 Drive,N 74th Terr,N 74th,74th Oakland
Villas at Ridge Pointe,72nd and College Parkway,State Ave,65th,72nd College Pkwy
Waterway Group,Minnesota Ave,Ella,7th,14th
Weaver/Wayne,Sewell,Weaver Drive,39th St,40th
Welborn Community Watch  55th Leavenworth,,,55th Webster to 51st Leavenworth Rd & 51st to Webster,55th Webster to Leavenworth Rd
Welborn Villa Residents Council,51st & Leavenworth Road,,,
West Wyandotte,New Jersey,Everett,N 79th,85th Terr
Westborough NHG,77th terr - 1819 N 78th,77th Everett - 1405 N 78th,77th St Corona - Everett,78th St 1800 Block North - 1405 Block
,,,,South
Westbridge Homeowners Association,Freeman,Dead end,85th Terr,86th
Western Highland Commu-nity Group,Quindaro,Parallel,10th,13th
Westfield Homeowners     Association,Everett Court,State Ave,82nd,79th
Westlake Homeowners     Association,Webster,Georgia,103rd,101st
Westmore Downs,Georgia,Haskell,105th,106th
WestVale Coffee Club,Barnett,Orville,Westview Dr(westside),Washington
White Church NBHD,85th  Parallel to Cleveland,86th Terr Parallel to Haskell,Greeley,84th
White Oaks,Haskell,Circle,83rd,83rd St lane
Windhill Estate Homeowners Association,Georgia@99th  to 100th,2300 N 99th to 100th,99th,100th
Woodland Hills HOA,3700 & 3800 block of 113th,11000 Sortor Drive,3800 N 112th,Donahoo & 112th
Wyandotte Gardens,Shawnee Drive,Woodend,27th,34th
Wyandotte Countians Against Crime,Minnesota Ave,I-70,10th,40th
Wyandotte Village,Parallel,State,N 42nd,N 47th
